,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-04-28,1283.199951,1284.760010,1230.380005,1232.589966,1232.589966,4035000
1,2020-04-29,1345.000000,1360.150024,1326.729980,1342.180054,1342.180054,5417900
2,2020-04-30,1331.359985,1350.000000,1321.500000,1346.699951,1346.699951,2792100
3,2020-05-01,1324.089966,1351.430054,1309.660034,1317.319946,1317.319946,2443600
4,2020-05-04,1333.000000,1349.459961,1323.540039,1341.329956,1341.329956,1781400
5,2020-05-05,1346.410034,1360.560059,1342.239990,1347.109985,1347.109985,1579600
6,2020-05-06,1348.000000,1359.000000,1336.750000,1350.819946,1350.819946,1416000
7,2020-05-07,1360.349976,1374.650024,1355.260010,1372.569946,1372.569946,1512000
8,2020-05-08,1375.369995,1402.800049,1375.000000,1399.420044,1399.420044,1765200
9,2020-05-11,1393.000000,1415.489990,1393.000000,1403.260010,1403.260010,1557800
10,2020-05-12,1404.000000,1410.420044,1364.810059,1373.190063,1373.190063,1832400
11,2020-05-13,1351.109985,1360.280029,1319.979980,1343.560059,1343.560059,2174700
12,2020-05-14,1320.000000,1336.890015,1283.000000,1293.530029,1293.530029,2354600
13,2020-05-15,1295.000000,1327.760010,1288.000000,1320.619995,1320.619995,1739700
14,2020-05-18,1339.599976,1374.000000,1337.459961,1373.479980,1373.479980,1611600
15,2020-05-19,1369.000000,1374.579956,1343.750000,1348.660034,1348.660034,1443400
16,2020-05-20,1352.150024,1410.189941,1351.959961,1406.719971,1406.719971,1961900
17,2020-05-21,1408.000000,1415.000000,1393.219971,1402.800049,1402.800049,1535500
18,2020-05-22,1396.709961,1410.000000,1391.030029,1410.420044,1410.420044,1063200
19,2020-05-26,1430.000000,1441.000000,1416.209961,1417.020020,1417.020020,2197700
20,2020-05-27,1412.160034,1430.400024,1404.000000,1421.369995,1421.369995,1397400
21,2020-05-28,1416.000000,1440.839966,1406.390015,1416.729980,1416.729980,1685100
22,2020-05-29,1416.000000,1432.000000,1413.349976,1418.239990,1418.239990,1992900
23,2020-06-01,1418.390015,1437.000000,1418.000000,1430.390015,1430.390015,1211800
24,2020-06-02,1430.000000,1439.609985,1418.829956,1439.219971,1439.219971,1207100
25,2020-06-03,1438.000000,1446.550049,1429.000000,1436.380005,1436.380005,1234500
